公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称
000002,万 科Ａ,万科企业股份有限公司,"CHINA VANKE CO., LTD",广东省深圳市盐田区大梅沙环梅路33号万科中心,2,万 科Ａ
000011,深物业A,深圳市物业发展(集团)股份有限公司,"SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP)CO., LTD",广东省深圳市人民南路国贸大厦39、42层,11,深物业A
000012,南 玻Ａ,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",广东省深圳市蛇口工业六路一号南玻大厦,12,南 玻Ａ
000016,深康佳Ａ,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",广东省深圳市南山区华侨城,16,深康佳Ａ
000017,*ST中华A,深圳中华自行车(集团)股份有限公司,"SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) CO.,LTD",广东省深圳市布心路三零零八号,17,*ST中华A
000018,中冠A,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD",广东省深圳市龙岗区葵涌镇白石岗葵鹏路26号,18,中冠A
000019,深深宝Ａ,深圳市深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO.,LTD",广东省深圳市福田区竹子林四路紫竹七道26号教育科技大厦塔楼20层南半层,19,深深宝Ａ
000020,深华发Ａ,深圳中恒华发股份有限公司,"SHENZHEN HUAFA ELECTRONICS CO., LTD.",广东省深圳市福田区华发北路411幢,20,深华发Ａ
000022,深赤湾Ａ,深圳赤湾港航股份有限公司,"SHENZHEN CHIWAN WHARF HOLDINGS CO.,LTD",广东省深圳市赤湾,22,深赤湾Ａ
000024,招商地产,招商局地产控股股份有限公司,"CHINA MERCHANTS PROPERTY DEVELOPMENT CO., LTD",广东省深圳南山区蛇口工业区兴华路6号南海意库3号楼,24,招商地产
000025,特 力Ａ,深圳市特力(集团)股份有限公司,"SHENZHEN TELLUS HOLDING CO.,LTD",广东省深圳市罗湖区水贝二路特力大厦三楼,25,特 力Ａ
000026,飞亚达Ａ,飞亚达（集团）股份有限公司,FIYTA HOLDINGS LTD.,广东省深圳市南山区高新南一道飞亚达科技大厦,26,飞亚达Ａ
000028,国药一致,国药集团一致药业股份有限公司,CHINA NATIONAL ACCORD MEDICINES CORPORATION LTD,广东省深圳市福田区八卦四路15号一致药业大楼,28,国药一致
000029,深深房Ａ,深圳经济特区房地产(集团)股份有限公司,"SHENZHEN SPECIAL ECONOMIC ZONE REAL ESTATE（GROUP）CO.,LTD.",广东省深圳市人民南路3005号深房广场47楼,29,深深房Ａ
000030,富奥股份,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,吉林省长春市汽车经济技术开发区东风南街777号,30,富奥股份
000037,深南电Ａ,深圳南山热电股份有限公司,"SHENZHEN NANSHAN POWER STATION CO.,LTD",广东省深圳市南山区月亮湾大道2097号,37,深南电Ａ
000045,深纺织Ａ,深圳市纺织(集团)股份有限公司,"SHENZHEN TEXTILE (HOLDINGS) CO., LTD",广东省深圳市福田区华强北路3号深纺大厦6楼,45,深纺织Ａ
000055,方大集团,方大集团股份有限公司,"CHINA FANGDA GROUP CO., LTD",广东省深圳市高新区科技南十二路方大大厦,55,方大集团
